점포명,주소,전화번호
소비자공판장,인천광역시 남구 용현2동 568-83,032-885-5550
명지유통,인천광역시 연수구 청학동 458-7 1층,032-816-2088
충남미니,인천광역시 남구 숭의동 301-20번지,032-881-7520
시민마트,광주광역시 서구 치평동 1162번지,
온양종합약국편의점,충청남도 아산시 온천동 226-32,041-549-3454
미래하이퍼,서울특별시 구로구 구로2동 597-13,02-2678-4509
경일유통,경기도 용인시 수지구 신봉동 신봉마을자이3차아파트 상가 105호,031-897-1882
깐돌이슈퍼,부산광역시 진구 부암1동 218-18 번지,051-808-0354
빙그레공판장,충청북도 청주시 상당구 탑동 49-5,043-222-2041
행운슈퍼,강원도 삼척시 사직동 319-3 원조@상가 101호,
프린스유통,대구광역시 북구 태전동 959,053-321-6833
웰빙홈마트,서울특별시 강북구 한천로155길 43 (수유동) 116~127호,02-907-4487
드림25시,대전광역시 서구 관저동 1148번지구봉마을8단지나상가104호,042-541-9572
이타임25,경기도 수원시 팔달구 인계동 965-18,031-239-5807
참조은마트,강원도 원주시 명륜2동 단구2차아파트 480-1 103호104호,033-763-0372
투데이,대전광역시 유성구 봉명동 547-1조이시티상가101호,042-824-7934
화랑마트,경상북도 경주시 구황동 857-55번지,054-743-1757
대성마트,경상북도 경주시 산내면 의곡1리 157-5번지,054-751-8474
대화슈퍼,경기도 고양시 일산서구 대화동 2291번지,031-918-7817
모아마트,전라남도 고흥군 동일면 백양리 814-3번지,061-833-7054
현이네,서울특별시 중랑구 면목2동 192-125,02-496-5959
동양슈퍼,충청남도 태안군 태안읍 남문1리 180번지,041-674-9898
한양마트,강원도 삼척시 원당동 117번지 한양지하상가1,033-574-3481
홈마트,광주광역시 북구 문흥1동 185-5,062-251-1588
종로슈퍼,서울특별시 종로구 봉익동 18-3,02-765-3478
코리아편의점(금오점),경상북도 구미시 금오시장로 13 (원평동) 1층 1101호(원평동),054-452-2511
공단휴게소,경기도 군포시 당정동 369-5,031-457-3133
두리유통,광주광역시 북구 오치동 941-1,062-264-2111
아름다운마트,서울특별시 서초구 양재2동 265-17 1층,02-521-4649
외대슈퍼,서울특별시 동대문구 이문1동 264-15,02-963-6867
월드마트 (오치점),광주광역시 북구 서하로257번길 31(오치동) .,062-251-8248
탑플러스마트,부산광역시 진구 연지동 189-7,051-802-9034
성신슈퍼,대구광역시 북구 검단동 1266-14,053-383-6465
만물슈퍼,인천광역시 중구 제물량로24번길 1-1(신흥동3가) .,070-7524-1624
루디아슈퍼,서울특별시 성동구 성수동1가 656-98,02-465-7256
쉼터수퍼,전라남도 여수시 경호동 614-13,061-643-5189
강변수퍼휴게실,전라북도 남원시 죽항동 59-6,063-636-0666
한려주공마트,전라남도 여수시 둔덕동 한려주공아파트 지하상가,061-653-6644
그린마트,"광주광역시 북구 문흥2동 우성아파트 상가 101호~103호, 107호~109호",062-262-1716
동우할인마트,인천광역시 서구 석남동 521-2,032-576-1003
유앤아이,인천광역시 중구 북성동1가 98-552,032-762-1531
부영평화마트,전라북도 남원시 월락동 부영3차아파트 상가 101호,063-636-5000
에스마트,인천광역시 부평구 부평동 112-48,032-518-8959
모드니25,부산광역시 진구 개금동 615-17,051-896-7417
풍년슈퍼,인천광역시 연수구 연수동 635 우성1차상가내 106호,032-816-6825
한솔마트,충청북도 청주시 흥덕구 운천로10번길 4(운천동) 1층,043-266-5540
장미슈퍼,인천광역시 남동구 석산로9번길 26 (간석동),032-446-2009
신우할인마트,대구광역시 서구 평리동 국채보상로 37길 22(평리동 1층),053-566-7055
우일마트,서울특별시 성북구 장위1동 219-363,02-943-5795
은혜슈퍼,서울특별시 은평구 연서로16길 14(역촌동) .,02-359-1748
둥지슈퍼,인천광역시 연수구 옥련동 118-7,032-832-3457
엘에이상회,전라남도 목포시 산정동 1057-4번지,061-274-7358
한솔마트,부산광역시 해운대구 반송2동 한솔아파트 상가,051-543-3210
한주마트 한주점,"경기도 안성시 월덕천길 17 (봉산동, 한주아파트) 지하1층 1호(봉산동)",031-675-4544
스마일마트,인천광역시 남동구 고잔동 732-10,
빛고을마트,광주광역시 광산구 수완동 975번지 대주피오레 6단지 상가 102호,062-959-6775
제일미니슈퍼,인천광역시 남구 주안5동 28-7 동일에센빌 101,032-866-7940
25시 편의점 나들가게,인천광역시 연수구 청량로 143(옥련동) 1층,
대구상회,부산광역시 진구 범천동 839-411,051-643-8125
멀티편의점,광주광역시 서구 쌍촌동 1229쌍촌주공상가 101호,062-382-0611
현마트,전라북도 전주시 덕진구 금암동 200-1,063-275-4326
그린마트,인천광역시 남구 문학동 367-14,032-438-8577
식스원,광주광역시 북구 각화동 505-9,062-251-3137
수아네정육식품슈퍼,인천광역시 옹진군 영흥면 외리 707-5,032-889-1031
프라임할인마트,"인천광역시 서구 연희동 762-4,청라A-14블럭",032-569-7789
코사마트 동진제일점,전라북도 전주시 덕진구 인후동1가 226-34,063-241-3159
기성매점,대전광역시 서구 흑석동 295 기성종합복지관 내,070-7740-8892
현진마트,충청북도 청주시 서원구 탑골로 6(산남동) 현진에버빌@상가 101호,042-286-0004
우리마트,"경기도 용인시 처인구 중부대로1424번길10,101호(김량장동)",031-335-5196
다우마트,전라북도 전주시 완산구 서완산동2가 360-6,063-287-0588
롯데할인마트,전라남도 곡성군 옥과면 옥과리 129-1,061-362-7775
부영슈퍼,경기도 고양시 일산서구 탄현동 탄현마을7단지아파트 단지내상가 111호 부영슈퍼,031-911-1066
현대슈퍼,인천광역시 부평구 산곡동 370-199,032-516-1786
축복슈퍼,전라북도 군산시 옥산면 당북리 955-8,063-446-0490
화성마트,대구광역시 달성군 다사읍 서재리 신성서화성파크드림아파트 상가301동102호,070-8196-1900
경기전슈퍼,전라북도 전주시 완산구 교동 278-1,063-288-2425
e조은마트,강원도 원주시 무실동 1788-1번지 1층,033-747-2949
성락홈마트,전라북도 전주시 덕진구 인후동2가 1556-7,063-243-1472
동광슈퍼,대전광역시 중구 대흥동 508-7,042-224-8006
현대쇼핑,충청남도 서산시 음암면 도당4리 운암로 349,041-663-6017
드림마트,전라남도 순천시 연향동 1506-3,061-721-4919
모닝마트,대구광역시 남구 대명동 3052-36,053-625-8848
진마트,전라북도 전주시 완산구 효자동3가 1423-6 .,063-276-8055
낙원슈퍼 휴게실,전라북도 전주시 덕진구 떡전로18 1층(금암동),063-271-1858
장터24시할인마트,광주광역시 남구 봉선동 995-11번지,062-671-2040
평화수퍼,인천광역시 동구 화평동 3-122,032-777-9129
대명행복종합마트,전라북도 완주군 삼례읍 후정리 106 대명아파트 상가104,063-000-0000
기차마을마트편의점,전라남도 곡성군 오곡면 오지리 1249-1,061-363-1006
아이원할인마트,인천광역시 동구 송림동 339,032-777-3355
자연마트,강원도 철원군 서면 와수2리 3반 1178-4,033-458-2110
우리들마트,전라북도 전주시 덕진구 우아동1가 1119-4,063-241-7450
대한하이퍼마켓,경기도 시흥시 정왕2동 주공3단지아파트 상가,
달구벌슈퍼,대구광역시 서구 이현동 189-1번지,053-562-4805
로드스탑24시편의점,인천광역시 미추홀구 독배로498번길 22-2(숭의동) .,032-887-0889
모아마트,전라남도 함평군 함평읍 기각리 967-1,061-322-2608
진흥하이츠매장,전라북도 전주시 덕진구 우아동3가 412,063-243-5581
물치상회,강원도 양양군 강현면 물치리 64,033-671-5019
들안길마트,대구광역시 수성구 들안로13길83 (상동),053-761-1934
영인24시편의점,강원도 속초시 동명동 1-15 영인24시편의점,033-637-3882
현진슈퍼,인천광역시 부평구 부평6동 653-29,032-511-0672
정든슈퍼,충청남도 보령시 신흑동 2220-2,041-932-0109
명진할인슈퍼,전라북도 완주군 봉동읍 장기리 273 봉동2차 로얄아파트제 상가동 1-101,063-262-9784
해피편의점,인천광역시 옹진군 영흥면 선재리 611-2,032-886-4829
주공마트,전라북도 전주시 완산구 평화동2가 352-1 주공택지개발지구 102,063-225-7736
다래슈퍼,서울특별시 노원구 상계9동 649-1,02-934-4526
에덴종합마트,광주광역시 광산구 송정1동 425-17,062-944-2322
한강슈퍼,전라북도 전주시 덕진구 반월동 386-7,063-212-4816
부경마트,충청남도 당진시 당진중앙2로 331(원당동) 1층 103호(파크빌아파트),041-357-3554
조동상회,충청남도 논산시 벌곡면 조동리 162,041-733-9414
광산마트,광주광역시 광산구 우산동 1591-7 1층,062-945-2234
태평양마트,전라북도 완주군 삼례읍 동학로 90 .,063-291-6163
한성마트,부산광역시 북구 만덕대로 65번길 49 (덕천동),051-336-9888
k마켓,경상북도 포항시 북구 장성동 866-302,054-242-0930
열린슈퍼,제주도 제주도시 일도2동 1007-34,064-752-0968
장터마트,광주광역시 광산구 송정동 878,062-941-1711
중앙편의점,경기도 여주군 가남면 태평4리 163-4,031-882-4053
태양마트,서울특별시 도봉구 방학2동 614-5번지 1층,02-3491-4315
부영할인매장,충청남도 아산시 득산동 393-2,041-549-6565
제일슈퍼,경상북도 경주시 안강읍 사방리 431,
경기마트,경기도 화성시 정남면 괘랑리 233-2번지,031-353-8526
뉴플러스할인마트,서울특별시 성북구 상월곡동 7-137,
주공할인마트,경상남도 김해시 가락로 222(구산동) 구산영구임대아파트 상가 102호,055-338-3816
훼미리슈퍼,경기도 이천시 창전동 411-13,031-636-2969
새전주마트,전라북도 전주시 덕진구 금암동 631-63,063-272-4779
송림마트,경기도 부천시 원미구 상2동 573-2송림프라자102호,032-323-8464
썬마트,강원도 평창군 봉평면 창동리 403-1,033-335-0228
복덩어리,충청북도 청주시 서원구 호국로25번길 1(사직2동) 복덩어리,043-298-5001
월드마트,경상북도 포항시 남구 해동로 6(해도동),054-272-5590
투데이편의점,전라남도 순천시 중앙동 3-5,061-753-3815
한아름슈퍼,대구광역시 달서구 신당동 1712 1층,053-591-3320
24시 후레쉬마트,인천광역시 중구 인현동 20-11번지,
휴먼시아마트,충청남도 서산시 대산읍 대산리 1437번지,070-8867-6393
큰길마트,강원도 강릉시 경강로 1879(홍제동) .,033-646-3927
보훈마트,광주광역시 광산구 산월동 884-2 호반상가 109호,062-972-0440
아델리아 마트,경상북도 포항시 남구 대잠동 970번지 아델리아 상가 104동 105호,054-278-2558
포커스,충청북도 청주시 흥덕구 복대1동 2983번지 1층,043-231-6151
녹산스토아,경상남도 진해시 경화동 1160-1,055-546-8411
나들가게 지산점,대구광역시 수성구 지산로3길 91(지산동) .,053-753-0880
나들가게 지산점,대구광역시 수성구 지산로3길 91(지산동) .,053-753-0880
신영할인마트,경기도 화성시 향남읍 행정리 495-9,031-8059-6677
우리마트,경상북도 포항시 남구 상공로 94(상도동) 1층,054-251-1030
논스톱편의점,충청남도 논산시 취암동 372-62,041-733-0796
웰빙마트,경기도 화성시 정남면 문학리 321-23,031-352-4773
우정슈퍼,경기도 화성시 우정읍 조암리 396,031-351-8001
새싹슈퍼,경기도 화성시 우정읍 매향리 753-41,031-351-8888
지예마트,경기도 안산시 단원구 원본로1길 17-1 (원곡동) 지예마트,
그린마트,서울특별시 노원구 상계동 387-156,02-3391-4986
건영유통,서울특별시 서대문구 북가좌동 456 휴먼빌 상가동 202호,02-309-1377
영동마트,서울특별시 은평구 불광동 422-20,02-355-7535
다모아마트,서울특별시 은평구 불광동 125-10,02-358-6937
정원쇼핑,서울특별시 서대문구 홍은동 9-333,02-395-5611
우리상회,서울특별시 서대문구 옥천동 74,02-312-6856
황해슈퍼,서울특별시 은평구 대조동 208-17,02-385-1929
로뎀슈퍼,서울특별시 은평구 갈현동 12-106,02-389-6608
둘리슈퍼,서울특별시 마포구 성산2동 200-361,02-305-4468
종점상회,서울특별시 금천구 독산1동 1000-17,02-804-4192
마포슈퍼,서울특별시 마포구 도화동 7-8 호,02-704-8628
이좋은마트,서울특별시 구로구 디지털로32가길 76-22(구로동) 1층,02-864-7130
코사신선마트동교점,서울특별시 마포구 동교동 198-1 한양빌딩 1층,
꿈나무과일백화점,경기도 고양시 덕양구 행신동 735,031-974-3162
삼정슈퍼,서울특별시 서대문구 거북골로 7(홍은동) 건물의 최우측일부 제4호,02-309-7296
오성수퍼문구,전라북도 전주시 덕진구 덕진동1가 1273-33,063-251-3822
호남슈퍼,서울특별시 금천구 시흥2동 237-45,02-802-1678
코사마트고양점,경기도 고양시 덕양구 고양동 7-2,031-962-8823
두배로마트,경기도 고양시 덕양구 주교동 581-17 중앙하이츠 a-101,031-968-7767
나래슈퍼,충청남도 보령시 대천동 146-16,041-935-1213
선희마트,경기도 하남시 신장동 530-7,031-794-9116
한마음식품,서울특별시 서대문구 홍제동 336-3,02-314-1374
K-1 할인마트,부산광역시 금정구 서동 138-1,051-522-5332
코사마트(새마을점),경기도 고양시 덕양구 화전동 159-6,02-3158-1253
오렌지마트,경기도 고양시 일산서구 대화동 2024-8,031-922-4963
오렌지마트,경기도 고양시 일산서구 대화동 2024-8,031-922-4963
덕산빅마트,경상남도 창원시 동읍 용잠리 250-8,055-252-0708
한솔마트,서울특별시 은평구 구산동 16-38,02-303-0045
예림마트,서울특별시 은평구 구산동 6-17,02-386-5841
쌩큐유통,서울특별시 마포구 연남동 487-322번지,02-334-5031
참마트조례점,전라남도 순천시 조례동 1128-1,061-725-3444
신동슈퍼,부산광역시 동구 초량2동 974-18,051-468-2439
우미코사마트,전라남도 순천시 연향동 1384-2 우미아파트 상가 지하1호,061-721-8756
국제세일마트,부산광역시 동구 수정동 1189-7,051-468-2203
코사마트,부산광역시 동구 수정동 784-8,051-467-5560
시장알짜마트,전라남도 고흥군 과역면 과역리 162 시장3동,061-832-9842
현대마트,전라북도 정읍시 칠보면 무성리 22-6,063-534-3009
상아슈퍼,전라남도 광양시 광양읍 칠성리 상아아파트 상가 202,061-762-6855
준마트,전라북도 전주시 완산구 효자동1가 188-64,063-227-8216
세계로마트,전라북도 전주시 덕진구 인후동2가 1526-29,063-245-8862
으뜸마트,"전라북도 전주시 완산구 오공로 90, 상가동 101호,102호 (중동, 전북현식호반더클래스)",063-228-3630
엘지마트,"서울특별시 중랑구 봉화산로 165 B04호(상봉동,신내12단지상가)",02-3421-1117
푸른마트,전라북도 전주시 덕진구 인후동1가 178-3,063-246-1359
연수마트,전라북도 전주시 덕진구 우아동3가 599 우신아파트상가 6-112,063-245-7383
동부슈퍼,서울특별시 중랑구 망우본동 135-9,070-5582-9745
류마트,충청남도 천안시 동남구 구성동 427-8,041-561-5754
공영쇼핑,전라북도 전주시 덕진구 여의동 658-5,063-212-6421
호반슈퍼,전라북도 전주시 덕진구 덕진동2가 167-54,063-252-8700
연춘할인마트,충청남도 천안시 동남구 북면 연춘리 197-1,041-556-4114
현대슈퍼,서울특별시 구로구 구로동 166-25,02-853-1928
신토불이,전라북도 전주시 덕진구 덕진동1가 664-18,063-253-3021
기안대형마트,"전라북도 익산시 팔봉동 313 상가1층 102,103호",063-833-1829
줄리앤나제,서울특별시 중구 을지로7가 128,
동구할인마트,부산광역시 동구 초량동 65-4대동빌딩1층,051-468-7312
대진유통,충청남도 아산시 도고면 기곡리 294-4,041-541-0392
벽산슈퍼,경기도 안양시 동안구 비산동 1103,031-381-0819
아리랑슈퍼,서울특별시 광진구 자양동 612-30,02-454-6689
쌍용청과슈퍼,전라북도 전주시 덕진구 송천동2가 535-1 쌍용@상가 104,063-255-3525
삼부할인마트,서울특별시 성북구 길음1동 삼부아파트 상가 1276-124번지 102동24호,02-912-3761
으뜸그린쌀마트,경기도 구리시 수택동 525-87,031-562-0569
신우푸른,"대구광역시 동구 신천동 645-1 우방푸른상가 102,103,104호",053-421-2773
함열유통,전라북도 익산시 함열읍 와리 656-1,
코사마트구이점,전라북도 완주군 구이면 항가리 460-5,070-4728-1488
하나유통,"인천광역시 부평구 갈산동 362, 11,12호",032-501-2068
신일마트,경상북도 영천시 문내동 181-5,054-334-2725
소망24시마트,전라북도 전주시 완산구 경원동3가 5-7 건물 2호,063-909-3133
현대슈퍼,서울특별시 광진구 구의동 199-22 지하1층,02-457-4571
우리슈퍼,경기도 오산시 양산동 434번지,031-373-8438
아이마트,충청남도 천안시 동남구 삼룡동 275-6,
상동할인마트,대구광역시 수성구 상동 612-27,053-762-9190
그린할인마트,대구광역시 북구 산격동 1310-8,053-953-0050
진아슈퍼,대구광역시 달서구 월성2동 86 월성2단지 상가 제7702동 106호,053-635-0549
주공그린빌마트,"경상남도 진해시 석동 659.벚꽃그린빌4단지상가101,102",055-551-6263
대림마트,전라북도 전주시 완산구 효자동3가 1473-5호 101호,063-277-1434
우리슈퍼,경기도 구리시 수택동 518-13,031-551-6489
금강홈마트,경기도 광주시 경안천로 143(송정동) 215동 101호(금강펜테리움2단지상가),031-768-0078
햇빛마트(나들가게),대구광역시 동구 지저동 827-19 부국빌라상가 101,053-981-6879
에스마트성서 1호점,대구광역시 달서구 신당동 성서주공3단지아파트 상가 101호,053-584-3278
부영할인마트,대구광역시 북구 구암동 부영아파트7단지 상가 101,053-323-2440
이레마트,경기도 성남시 수정구 단대동 64-7,031-735-5657
유정마트,경기도 구리시 수택동 377-43번지 1층,031-567-4805
신우유통미래타운점,"대구광역시 북구 구암동 미래타운상가 103호, 105호",053-324-4969
희망슈퍼,인천광역시 남동구 구월1동 1150-14,032-438-2909
아이존할인마트,경상북도 영천시 망정동 468번지 아이존빌스타 101~103호,
에바코,"대전광역시 동구 성남동 520 효촌상가 가동 103, 104",042-621-1114
경희마트,서울특별시 동대문구 휘경동 312-73 1층,02-493-5474
좌천슈퍼,부산광역시 동구 좌천동 867-8,
우남대형수퍼,"전라북도 익산시 부송동 우남콤비타운아파트 상가 110-102, 103",063-832-8815
패밀리마트,대구광역시 북구 태전동 1103 태전휴먼시가 1단지 내 분산상가 101,053-311-1588
플러스탑마트,부산광역시 진구 당감동 810-1 모던프라자101호,
대웅유통,대구광역시 동구 신평동 760-26,053-981-3143
계양종합마트,인천광역시 계양구 계산동 940-42,032-546-8737
종합할인마트,경기도 부천시 소사구 심곡본동 562-54,032-654-1327
기계코사마트,경상북도 포항시 북구 기계면 현내리 388-6,054-249-1777
프라임홈마트,경기도 안산시 단원구 한양대학로 132 (고잔동) 상가 104호,031-997-0123
4지구 도개공 슈퍼,부산광역시 사하구 다대2동 95-1,051-265-2134
우리할인마트,경상남도 합천군 초계면 초계리 24-6,055-931-0208
윈마트,전라북도 전주시 덕진구 송천중앙로 212(송천동2가) a동 1층,063-251-0979
주공마트,경기도 김포시 통진읍 마송리 498 매수리마을 10단지상가 101호,031-985-3121
쌍용정우유통,전라북도 전주시 완산구 삼천동1가 563-17,063-224-3288
쎄일마트,인천광역시 계양구 임학동 187,032-546-6740
플러스 마트,대구광역시 남구 봉덕동 1393,053-472-9689
애플마트,인천광역시 남구 경원대로658번길 21-3 (관교동 490-6),
창진슈퍼,인천광역시 부평구 부평동 678-14,032-522-0183
현대쇼핑,전라북도 완주군 봉동읍 용암리 200-7,063-261-3267
홈마트,대구광역시 달서구 도원동 1457-2,
월드마트,경기도 안산시 상록구 본오동 872 월드상가 2동 111호,031-407-7297
오케이편의점마트,경기도 부천시 소사구 경인로483번길 10 1층(괴안동),032-684-0764
동화할인마트,대구광역시 달서구 죽전동 251번지 동화상가201호,053-557-0063
무심슈퍼,충청북도 청주시 흥덕구 정봉동 30-3,
달성슈퍼,대구광역시 중구 대신동 274-18,053-253-8963
고향슈퍼,경기도 안산시 상록구 용하공원로 39(사동) 상가동 101호,031-437-3775
효문알뜰마트,전라북도 전주시 완산구 고사평로 21(서신동) 효문알뜰마트,063-252-9377
코사대명1호점,대구광역시 남구 대명동 1721-18,053-625-8538
그린데이마트,전라남도 목포시 삼향천로91번길 24-1 (옥암동) 그린데이마트,061-284-0918
그린마트,경기도 안양시 동안구 관양2동 1502-4 그린마트,031-425-1505
양지슈퍼,경기도 과천시 과천동 458-7,02-504-2848
양지슈퍼,경기도 과천시 과천동 458-7,02-504-2848
동아e마트,전라남도 목포시 상동 878-8,061-284-6478
코사마트 (갑경점),대구광역시 서구 중리동 79-3,053-523-4988
생큐Q21 나들가게,"서울특별시 도봉구 마들로 684(도봉동) 103,104호",02-3491-4330
대한슈퍼,경기도 시흥시 조남동 171-20 수정상가 102,031-405-5134
대한슈퍼,경기도 시흥시 조남동 171-20 수정상가 102,031-405-5134
대보하이마트,강원도 원주시 호저면 만종리 659-2,033-747-2723
K-마트,경기도 수원시 권선구 구운동 483-3,031-297-4989
영진슈퍼,경기도 부천시 소사구 송내동 571,
포두마트,전라남도 고흥군 포두면 상대리 88-1,061-832-5537
동양마트,서울특별시 노원구 상계동 358-1 동양메이저@상가 109호,02-930-9290
홈마트,경기도 과천시 부림동 41,02-502-7864
도화,인천광역시 남구 도화3동 16-32,032-762-3385
성우슈퍼,서울특별시 광진구 중곡동 127-2 1층,02-453-7549
주안유통,인천광역시 남구 주안4동 1556-52,032-434-7745
삼호할인마트,경기도 안양시 동안구 비산동 338-4,031-387-7028
터미널청과,전라북도 전주시 덕진구 우아동3가 398-2,063-244-4926
와이마트,전라북도 전주시 완산구 삼천동1가 오성대우아파트 상가 1층,063-224-5971
건양슈퍼,서울특별시 강남구 대치동 975번지,02-554-1001
쎄븐마트,충청북도 청주시 청원구 중앙로 103번길 4 (우암동 326-12),043-221-1282
가을햇쌀유통,경기도 의정부시 호원동 451-5 우성5차상가 104호,031-874-8436
에벤에셀 하이퍼마켓,충청북도 청주시 서원구 청남로2109번길 5(수곡동) 1층,043-284-5821
자양수퍼,서울특별시 광진구 자양동 512-3,02-446-6456
자양상회,서울특별시 광진구 자양동 685-25,02-457-1680
두꺼비슈퍼,서울특별시 중랑구 면목2동 131-6,02-437-2957
그리운 고향장터,대전광역시 서구 산직동 453-4,042-477-6376
코사마트메트로점,대구광역시 수성구 만촌1동 메트로팔레스아파트 5단지 상가 521-104,053-745-4566
동양식품,서울특별시 강서구 화곡동 424-1,02-2692-6619
명신슈퍼,전라남도 목포시 산정동 1080-671,061-276-2370
한신마트,서울특별시 중랑구 면목동 1077-1 용마한신아파트 상가지하1층 1호,02-437-9284
한신마트,서울특별시 중랑구 면목동 1077-1 용마한신아파트 상가지하1층 1호,02-437-9284
하나마트,전라북도 익산시 모현동1가 186-79,063-854-1519
나래슈퍼,경기도 평택시 포승읍 원정리 461-3번지,031-682-3328
풀마트,경상북도 포항시 남구 해도동 86-34,054-272-0915
원마트,제주도 서귀포시 보목동 756-3,064-732-4904
꽃동네슈퍼,충청남도 아산시 배방읍 북수리 601-14,041-548-1748
우성청과,서울특별시 광진구 자양3동 578-7 105호,02-2201-8249
한스빌코사마트,"전라북도 익산시 목천로 30-14 상가동 1층 1호 (목천동, 한스빌아파트)",063-841-9123
자이마트,경기도 수원시 권선구 권광로 55(권선동) 102호,031-898-7393
그린마트,전라북도 정읍시 시기동 523 유창아파트 상가,063-531-7301
현재상회,전라남도 구례군 광의면 연파리 381-1,061-781-3232
태왕마트,대구광역시 중구 대신동 305-1 상가 8호,053-425-1002
종점슈퍼,부산광역시 서구 남부민2동 440번지 5/2,051-257-3040
우리동네할인마트,서울특별시 양천구 월정로36길 5 (신월동) 68-9,
경포하나마트,강원도 강릉시 안현동 826-1,033-644-2415
서원탑할인마트,부산광역시 사상구 모라3동 백양그린아파트 상가106호,051-304-6286
대영할인마트,경기도 부천시 원미구 조종로 22 (원미동) 124-3번지,032-661-8883
신미진마트,광주광역시 북구 두암동 893-33,062-522-6512
나라마트,광주광역시 북구 용봉동 155-28,
현대수퍼,경상북도 포항시 북구 득량동 141-1,054-272-4695
우리할인마트,서울특별시 중랑구 망우동 364-4,02-439-9341
상남슈퍼,경상남도 창원시 사파동 85-18,055-606-1096
케이(k)마트,경상북도 포항시 북구 양학로 149(득량동) 103동 105호,054-285-4456
미소마트,대구광역시 달서구 두류동 112-15 1층,053-582-1489
우리유통,경기도 용인시 처인구 역북동 414-2,031-334-8500
오복슈퍼,대구광역시 동구 신기동 안심주공아파트 상가 103호,053-963-5053
계양슈퍼,경상북도 경산시 계양동 235-22,053-814-4418
나들할인마트,전라북도 전주시 덕진구 인후동1가 687-29,063-285-3234
제이제이쎄븐,전라북도 전주시 덕진구 인후동1가 756-21 1층,063-246-1880
탑훼미리마트나들가게,경상남도 진주시 집현면 진산로645번길 5 .,055-747-2003
대박편의점,충청남도 홍성군 홍성읍 오관리 311-5,041-632-8855
푸른스토아슈퍼,울산광역시 북구 화봉동 463-1,052-289-6379
대원유통,경상북도 경주시 성동동 270-3,054-743-1615
J마트,경기도 화성시 팔탄면 구장리 526-3,031-353-2524
웰빙슈퍼,경상북도 고령군 대가야읍 중앙로 35 .,054-956-5022
성일슈퍼,경기도 수원시 팔달구 매산로3가 111-68,031-234-9857
경북슈퍼,강원도 태백시 장성동 170-107,033-581-6855
모래내마트,전라북도 전주시 덕진구 건산로 43(금암동) .,063-254-8818
팔부자슈퍼,경기도 안양시 만안구 석수동 775-6,031-472-6658
진흥마트,인천광역시 남동구 만수동 1104-15,032-472-3944
삼일슈퍼,충청북도 충주시 칠금동 626,043-851-5356
천안슈퍼,경기도 광명시 철산4동 467-366,02-2683-2330
참마트,경상남도 마산시 봉암동 462-39,055-255-6321
영마트,전라북도 익산시 어양동 부영2차아파트 상가 106,063-836-0901
한빛할인마트,서울특별시 금천구 독산동 1065-11,02-802-8462
에스마트,경기도 평택시 평택동 71-2번지,031-654-5644
대박마트,서울특별시 종로구 숭인동 1080번지,02-922-5096
제일마트,경기도 평택시 현덕면 인광리 117번지,031-686-5555
신월슈퍼,경상남도 창원시 신월동 90-2 주공복합상가 102호,055-285-3933
K마트,경상북도 포항시 북구 득량동 정성빌딩 170-1,054-283-6400
빙그레마트,대구광역시 수성구 지산동 500-1,053-767-2088
동성마트,전라북도 익산시 영등동 제일4차아파트 상가 608-113,
극동슈퍼마켓,부산광역시 중구 영주1동 607-9,051-469-1880
봉래슈퍼마켓,부산광역시 중구 영주1동 640-28,051-462-3826
바다마트,전라남도 영암군 학산면 독천리 177-7,
하나로 마트,경기도 수원시 장안구 파장동 525-1번지,
행복마트,전라남도 목포시 상동 795-13,061-282-7214
용산주공3단지슈퍼,"충청북도 충주시 용산동 3단지상가103,104,105",043-844-3255
G마트,경기도 부천시 소사구 송내동 336-11,032-663-2657
SS할인마트,경상북도 포항시 남구 해도동 470-2번지 　,054-273-0101
자매슈퍼,부산광역시 영도구 동삼동 1123 동삼주공2단지 108,051-404-2010
한라슈퍼,부산광역시 동구 초량2동 540-3,051-467-5240
뉴빅세일마트,부산광역시 동구 수정1동 1043-=54,051-466-7530
부흥슈퍼,서울특별시 영등포구 신길동 405-46,02-835-0009
하나로슈퍼,서울특별시 강서구 가양동 1486 주공@ 상가 103호,02-2668-7764
롯데마트,서울특별시 강서구 화곡동 1100-10 지순빌딩 1층,02-2065-6161
구암슈퍼,전라북도 김제시 용지면 구암리 228,063-542-3025
한아름마트,서울특별시 강서구 등촌동 688-2 주공3단지상가 104,
김제주공마트,전라북도 김제시 검산동 주공1차상가주공마트,063-547-5392
코사마트한림점,전라북도 김제시 신풍동 70-3,063-542-0990
부영2차슈퍼,전라북도 김제시 검산동 1032부영2차아파트상가101호,063-548-5454
우정슈퍼,서울특별시 양천구 신월동 9-31,02-2603-0545
희마트,서울특별시 양천구 남부순환로60길 11(신월동) .,02-2696-7183
로또 행운마트,서울특별시 양천구 신월동 52-11,02-2696-1907
푸르지오 슈퍼,인천광역시 연수구 연수3동 대우1차아파트 상가 108호,031-0000-0000
세진할인마트,"충청북도 진천군 문백면 봉죽2길 20-30 , 104호",043-532-0271
동우슈퍼,"부산광역시 서구 남부민동 652-2,3,4",051-246-3102
합정나들가게,서울특별시 마포구 합정동 443-17,02-333-8523
영마트,경기도 군포시 번영로573번길 6(금정동) 1층,031-453-1878
하나마트,충청북도 청주시 흥덕구 개신동 439-2,043-276-1422
국민청과수퍼,전라북도 전주시 덕진구 매봉5길 28 (금암동),063-274-9565
